Updated 3/5/2017,CPU,Blck,Core Mult,Core Freq,Cache Freq,Vcore in Bios,Vcore,Fclk,Cooler,Stability,Batch,Ram Settings,Motherboard,Additional Comments,Picture Verified?,VCCIO,SA
Jpmboy,6600k,100,46,4.6,4.6,1.46,1.452,1,Custom Loop,"P95 v28.7 2.5hr (Various FFT sizes), x264 (x50)",Engineering Sample,3466 16-18-18-44 @ 1.49v,Asus z170 Extreme,"LLC Level 5, PCH 1.075v, DMI 1.22v",Yes,1.212,1.212
SteveRo,6300,121.053,46,4.6,4.6,1.5,1.5?,967.9,"Custom Loop, 2x480mm ",P95 v28.7 1hr,,2098 15-15-15-35 @ 1.4v,ASRock z170 OC Formula,"LLC Level 1, Dual cores mean low temps",Yes,1.2,1.2
scyther,6600k,100,46,4.6,4.5,1.32,1.312,1,Cryorig H5 Ultimate,x265 16T 8hr (x50),malay L547C123,XMP 2400 15-15-15-35,Asus z170 AR,LLC Level 6,Yes,,
Cyro999,6700k,100,46,4.6,4.5,1.39,1.392,1,Silver Arrow,x264 16T x50,Meow!,3200 16-18-18-36 @ 1.35v,Asus z170 Hero,LLC Level 5,Yes,1.1375,1.1375
spddmn24,6600k,100,46,4.6,4.4,1.35,1.375,1,H801 GT,Realbench 8hr,L524B406,3000 15-15-15-35 @ 1.38v,MSI z170 Krait Gaming,LLC 1,Yes,,1.2
Bride,6600k,100,46,4.6,4.4,1.335,1.416,1,ID-Cooling Frostflow 120,OCCT Small 1hr,China X548B047,3000 15-15-15-35,ASRock z170 X13.1,"A choke was overheating, but was fixed with an extra fan",Yes,,
Halbs,6700k,100,46,4.6,4.3,Offset +60mv,1.296,1,Deepcool Maelstrom 120mm,"x164 16T 11hr (x86), OCCT 1hr",Malay L537B214,3200 15-16-16-35 @ 1.384v,ASRock z170 AC,"LLC Level 2, Finds cooling to be subpar",Yes,,
WiLLSK,6600k,100,46,4.6,4.3,1.365,1.36,1,H100i GTX,x264 x45 (7hr),,XMP 2666 15-17-17-35 @ 1.2,Asus z170 Gene,LLC Level 6,Yes,,
Strife21,6600k,100,46,4.6,4.2,1.32,1.328,,H100i GTX PP,Realbench 2.41 6.5hr,Malay L524B277,XMP 3000 15-15-15-35 @ 1.35v,Asus z170 Hero,"LLC Level 5, Needed to use ""Tweak Mode 1"" to get the ram working at XMP",,,
Wacko90901,6700k,100,46,4.6,4.2,1.365,1.344,,Custom Loop,"P95, Aida64 30 minutes",Malay L527B622,2800 16-16-16-37 @ 1.2v,MSI z170 M7,,,,
Asmola,6700k,100,46,4.6,4.2,1.36,1.344,1,U14S,P95 v28.7 72hr,L527B283,3466 16-17-17-38 @ 1.353v,Asus z170 Gene,LLC Level 5,Yes,,
austinmrs,6600k,100,46,4.6,4.2,1.43,1.344,1,H110i GT,x264 16T 8hr,L547B504,2133 @ 1.2v,Asus z170 hero,LLC Level 5,Yes,,
krutoydiesel,6700k,100,46,4.6,4.2,1.34,1.344,0.8,"Custom Loop, 360+280mm, CPU + 980ti",x264 16T 18hr (x141),Vietnam X630B755,15-17-17-35 @ 1.35v,LLC Level 5,Up to 68C under stress,Yes,,
thetyrantcbass,6600k,100,46,4.6,4.2, Offset + 0.06v,1.38,1,D15 LNA,x264 16T 8hr (x51),X548C134,2400 16-16-39-2T @ 1.2v,Gigabyte z170 UD5,"LLC High, Also claims P95 28.7 Blend tested",Yes,,
deathroll,6700k,100,46,4.6,4.2,1.375,1.394,1,D14,x264 16T 9hr (x70),L525B417,2666 15-17-17-35 @1.2v,Asus z170 Hero,LLC Level 5,Yes,,
stixi,6700k,100,46,4.6,4.2,1.3,1.424,1,H110i GTX,x264 16T 8hr,Malay L5198743,3200 15-16-16-30 @ 1.353v,Asus z170 Gene,LLC Level 6,,,
ansontzcheung,6700k,100,46,4.6,4.1,1.296,1.325,,H110i GT,Realbench 4hr,Malay L518B951,XMP 3000 15-15-15-35 @ 1.35v,Asus z170 Hero,LLC Level 5,,,
alphadecay,6700k,100,46,4.6,4.1,1.311,1.339,1,Nepton 240M,x264 16T 5hr (x40),Malay L530B223,2800 15-15-15-35 @ 1.35v,Asus z170 A,,Yes,,
Scoundrel,6700k,100,46,4.6,4.1,1.36,1.36,,H100i,P95 v28.7 24hr,Malay L5208610,XMP 3200 16-18-18-36 1T @1.35v,Asus z170 Hero,LLC Level 5; Says 0802 UEFI works better than previous version,Yes,,
Exley,6700k,100,46,4.6,4.1,1.33 + .005,1.392,,H100i GTX,"x264 16T 5hr (x40), Realbench 1hr",Malay L537B213,3000 15-15-15-35 @ 1.35v,Asus z170 Hero,LLC Level 5,Yes,,
SimpleTech,6700k,100,46,4.6,4,1.355,1.332,0.8,Custom Loop,x264 16T 13.5hr (x103),Malay L535B053,2133 15-15-15-35-2T @ 1.2v,Gigabyte z170 Gaming 7,"LLC High, CPU Microcode v35",Yes,,
allen5924,6700k,100,46,4.6,4,1.27,1.345,,H100i GTX,x264 16T 6.4hr,Malay L519B892,XMP 2666 16-18-18-35 @ 1.35v,Gigabyte z170 5,,Yes,,
shredzy,6700k,100,46,4.6,4,1.325,1.328,,H110i GTX,Realbench 8hr,Malay  L523B541,XMP  2666 16-18-18-35 @1.2v,Asus z170 Hero,LLC Level 5,,,1.15
ThunderCleese,6700k,100,46,4.6,4,1.375,1.356,0.8,PhanteksTC14PE,x264 16T 22.5hr (x172),Malay L518C404,2400 15-15-15-35 @ 1.2v,Gigabyte z170 Gaming 5,Mobo lacks fine Fclk/LLC adjustment,Yes,,
